annotation;brand;brand_known;dia;diameter;et;holes;img;img_full;link;model;name_product;pcd;price;retail_price;retail_price_one;seller;title;title_short;type;width
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 SL ";114.3;21900;26900;6725;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 SL ";114.3;21900;26900;6725;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;8.0
"10.5x18"", 5x114.30, ET22, ЦО 73,1мм.";Work Emotion;WORK;73.1;18;22;5;https://static.baza.farpost.ru/drom/1535127385555_bulletin;https://static.baza.farpost.ru/drom/1535127385555_default;https://baza.drom.ru/vladivostok/wheel/disc/novinka-ultra-dipovye-js-107-hyper-bronze-white-64956493.html;JS 107;"10.5x18"", 5x114.3, ET22, ЦО73.1 WORK JS 107 ";114.3;29900;34900;8725;WorldWheels;Новинка! Ультра диповые JS 107 Hyper / Bronze / White;JS 107 (белые) (бронза) (насыщенный) (диповые);Литой;10.5
"8.0x17"", 5x100.00, 5x114.30, ET38, ЦО 73,1мм.";Work Emotion;WORK;73.1;17;38;5;https://static.baza.farpost.ru/drom/1530204012385_bulletin;https://static.baza.farpost.ru/drom/1530204012385_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-bronze-work-t7r-r17-64572104.html;JS 107  T7R;"8.0x17"", 5x114.3, ET38, ЦО73.1 WORK JS 107  T7R ";114.3;24900;29900;7475;WorldWheels;Новые! Диповые JS 107 Hyper / Bronze Work T7R R17;JS 107 Work T7R (бронза) (насыщенный) (диповые);Литой;8.0
"8.0x17"", 5x100.00, 5x114.30, ET38, ЦО 73,1мм.";Work Emotion;WORK;73.1;17;38;5;https://static.baza.farpost.ru/drom/1530204012385_bulletin;https://static.baza.farpost.ru/drom/1530204012385_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-bronze-work-t7r-r17-64572104.html;JS 107  T7R;"8.0x17"", 5x114.3, ET38, ЦО73.1 WORK JS 107  T7R ";114.3;24900;29900;7475;WorldWheels;Новые! Диповые JS 107 Hyper / Bronze Work T7R R17;JS 107 Work T7R (бронза) (насыщенный) (диповые);Литой;8.0
"8.0x17"", 4x100.00, 4x114.30, ET38, ЦО 73,1мм.";Work Emotion;WORK;73.1;17;38;4;https://static.baza.farpost.ru/drom/1530206285628_bulletin;https://static.baza.farpost.ru/drom/1530206285628_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-bronze-work-t7r-r17-64572349.html;JS 107  T7R;"8.0x17"", 4x114.3, ET38, ЦО73.1 WORK JS 107  T7R ";114.3;24900;29900;7475;WorldWheels;Новые! Диповые JS 107 Hyper / Bronze Work T7R R17;JS 107 Work T7R (бронза) (насыщенный) (диповые);Литой;8.0
"8.0x17"", 4x100.00, 4x114.30, ET38, ЦО 73,1мм.";Work Emotion;WORK;73.1;17;38;4;https://static.baza.farpost.ru/drom/1530206285628_bulletin;https://static.baza.farpost.ru/drom/1530206285628_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-bronze-work-t7r-r17-64572349.html;JS 107  T7R;"8.0x17"", 4x114.3, ET38, ЦО73.1 WORK JS 107  T7R ";114.3;24900;29900;7475;WorldWheels;Новые! Диповые JS 107 Hyper / Bronze Work T7R R17;JS 107 Work T7R (бронза) (насыщенный) (диповые);Литой;8.0
"9.5x18"", 5x114.30, ЦО 73,1мм.";Work Emotion;WORK;73.1;18;0;5;https://static.baza.farpost.ru/drom/1528488145575_bulletin;https://static.baza.farpost.ru/drom/1528488145575_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-zlye-dipovye-diski-js-107-hyper-work-t7r-r18-62397614.html;JS 107  T7R;"9.5x18"", 5x114.3, ЦО73.1 WORK JS 107  T7R ";114.3;27900;32900;8225;WorldWheels;Новые! Злые диповые диски JS 107 Hyper Work T7R R18;JS 107 Work T7R (насыщенный) (диповые);Литой;9.5
"8.0x17"", 5x100.00, 5x114.30, ET35";Work Emotion CR-KAI;WORK;0.0;17;35;5;https://static.baza.farpost.ru/drom/1526245827038_bulletin;https://static.baza.farpost.ru/drom/1526245827038_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r17-101-2013-63223055.html;JS 101E  CR Kiwami;"8.0x17"", 5x114.3, ET35, WORK JS 101E  CR Kiwami ";114.3;23900;28900;7225;WorldWheels;Новые! Диповые JS 101E Work CR Kiwami R17 (101-2013);JS 101E Work CR Kiwami (диповые);Литой;8.0
"8.0x17"", 5x100.00, 5x114.30, ET35";Work Emotion CR-KAI;WORK;0.0;17;35;5;https://static.baza.farpost.ru/drom/1526245827038_bulletin;https://static.baza.farpost.ru/drom/1526245827038_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r17-101-2013-63223055.html;JS 101E  CR Kiwami;"8.0x17"", 5x114.3, ET35, WORK JS 101E  CR Kiwami ";114.3;23900;28900;7225;WorldWheels;Новые! Диповые JS 101E Work CR Kiwami R17 (101-2013);JS 101E Work CR Kiwami (диповые);Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;TE37;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 ";114.3;21900;26900;6725;WorldWheels;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Volk Racing TE37;Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;TE37;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 ";114.3;21900;26900;6725;WorldWheels;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Volk Racing TE37;Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;TE37;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 ";114.3;21900;26900;6725;WorldWheels;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Volk Racing TE37;Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;TE37;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 ";114.3;21900;26900;6725;WorldWheels;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Volk Racing TE37;Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;TE37;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 ";114.3;21900;26900;6725;WorldWheels;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Volk Racing TE37;Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;TE37;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 ";114.3;21900;26900;6725;WorldWheels;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Volk Racing TE37;Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;TE37;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 ";114.3;21900;26900;6725;WorldWheels;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Volk Racing TE37;Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;TE37;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 ";114.3;21900;26900;6725;WorldWheels;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Volk Racing TE37;Литой;8.0
"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239442726_bulletin;https://static.baza.farpost.ru/drom/1526239442726_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);JS 101E Work CR Kiwami;Литой;9.5
"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239442726_bulletin;https://static.baza.farpost.ru/drom/1526239442726_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);JS 101E Work CR Kiwami;Литой;9.5
"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239442726_bulletin;https://static.baza.farpost.ru/drom/1526239442726_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);JS 101E Work CR Kiwami;Литой;9.5
"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239442726_bulletin;https://static.baza.farpost.ru/drom/1526239442726_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);JS 101E Work CR Kiwami;Литой;9.5
"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239442726_bulletin;https://static.baza.farpost.ru/drom/1526239442726_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);JS 101E Work CR Kiwami;Литой;9.5
"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239442726_bulletin;https://static.baza.farpost.ru/drom/1526239442726_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);JS 101E Work CR Kiwami;Литой;9.5
"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239442726_bulletin;https://static.baza.farpost.ru/drom/1526239442726_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);JS 101E Work CR Kiwami;Литой;9.5
"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239442726_bulletin;https://static.baza.farpost.ru/drom/1526239442726_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);JS 101E Work CR Kiwami;Литой;9.5
"8.5x18"", 5x100.00, 5x114.30, ET35";Work Emotion CR-KAI;WORK;0.0;18;35;5;https://static.baza.farpost.ru/drom/1526239532821_bulletin;https://static.baza.farpost.ru/drom/1526239532821_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-101-2003-63222969.html;JS 101E  CR Kiwami;"8.5x18"", 5x114.3, ET35, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Диповые JS 101E Work CR Kiwami R18 (101-2003);JS 101E Work CR Kiwami (диповые);Литой;8.5
"8.5x18"", 5x100.00, 5x114.30, ET35";Work Emotion CR-KAI;WORK;0.0;18;35;5;https://static.baza.farpost.ru/drom/1526239532821_bulletin;https://static.baza.farpost.ru/drom/1526239532821_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-101-2003-63222969.html;JS 101E  CR Kiwami;"8.5x18"", 5x114.3, ET35, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Диповые JS 101E Work CR Kiwami R18 (101-2003);JS 101E Work CR Kiwami (диповые);Литой;8.5
"9.5x18"", 5x100.00, 5x114.30, ET30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239618189_bulletin;https://static.baza.farpost.ru/drom/1526239618189_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-101-2004-63222962.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Диповые JS 101E Work CR Kiwami R18 (101-2004);JS 101E Work CR Kiwami (диповые);Литой;9.5
"9.5x18"", 5x100.00, 5x114.30, ET30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526239618189_bulletin;https://static.baza.farpost.ru/drom/1526239618189_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-101-2004-63222962.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Диповые JS 101E Work CR Kiwami R18 (101-2004);JS 101E Work CR Kiwami (диповые);Литой;9.5
"8.0x17"", 5x114.30, ET35, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;17;35;5;https://static.baza.farpost.ru/drom/1528911564771_bulletin;https://static.baza.farpost.ru/drom/1528911564771_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-r17-401-0025-r-60827214.html;TE37;"8.0x17"", 5x114.3, ET35, ЦО73.1 VOLK TE37 ";114.3;24900;29900;7475;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 R17 (401-0025 R);Volk Racing TE37 (диповые);Литой;8.0
"7.5x17"", 4x100.00, 4x114.30, ET42, ЦО 73,1мм.";Vossen VFS-2;VOSSEN;73.1;17;42;4;https://static.baza.farpost.ru/drom/1528390017954_bulletin;https://static.baza.farpost.ru/drom/1528390017954_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-vossen-vfs-2-silver-machined-r17-502-0011-63986691.html;VFS-2;"7.5x17"", 4x114.3, ET42, ЦО73.1 VOSSEN VFS-2 ";114.3;21900;26900;6725;WorldWheels;Новые! Vossen VFS-2 Silver Machined R17 (502-0011);Vossen VFS-2 (machined) (silver);Литой;7.5
"7.5x17"", 4x100.00, 4x114.30, ET42, ЦО 73,1мм.";Vossen VFS-2;VOSSEN;73.1;17;42;4;https://static.baza.farpost.ru/drom/1528390017954_bulletin;https://static.baza.farpost.ru/drom/1528390017954_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-vossen-vfs-2-silver-machined-r17-502-0011-63986691.html;VFS-2;"7.5x17"", 4x114.3, ET42, ЦО73.1 VOSSEN VFS-2 ";114.3;21900;26900;6725;WorldWheels;Новые! Vossen VFS-2 Silver Machined R17 (502-0011);Vossen VFS-2 (machined) (silver);Литой;7.5
"9.5x18"", 5x100.00, 5x114.30, ET30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526237562048_bulletin;https://static.baza.farpost.ru/drom/1526237562048_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-hyper-101-2002-63222834.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Диповые JS 101E Work CR Kiwami R18 Hyper (101-2002);JS 101E Work CR Kiwami (диповые);Литой;9.5
"9.5x18"", 5x100.00, 5x114.30, ET30";Work Emotion CR-KAI;WORK;0.0;18;30;5;https://static.baza.farpost.ru/drom/1526237562048_bulletin;https://static.baza.farpost.ru/drom/1526237562048_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-hyper-101-2002-63222834.html;JS 101E  CR Kiwami;"9.5x18"", 5x114.3, ET30, WORK JS 101E  CR Kiwami ";114.3;27900;32900;8225;WorldWheels;Новые! Диповые JS 101E Work CR Kiwami R18 Hyper (101-2002);JS 101E Work CR Kiwami (диповые);Литой;9.5
